id,股票简称,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业,收益,总股本,ROE,净利率(%),负债率(%),同比(%),每股净资产,毛利率,PE(动),净利润,总营收,总值,流值
31,大悦城,4,1.265822785,-6.56775855,-5.94749274,1.09367844,0.000752346,0.4574126,2.95859709,房地产开发,0.039983491,4286313339,1.1,10.06316135,76.69419591,269.9036651,3.6573821,30.28665966,2501,171381768.9,6085492212,17145253356,16011548676
32,深桑达A,32.52,-4.4653349,-393.8685741,-228.0761384,5.97913083,2.821443745,0.703918,-85.57604782,通信设备,-0.049712587,1137959234,-0.96,0.780609169,79.93279002,54.69592499,5.4389176,10.32400677,-16354,-56570897.29,12926328439,37006434290,20967719134
34,神州数码,25.01,-2.266510356,16.31047504,16.66414275,2.13793362,0.043901604,0.14631022,8.69980744,计算机设备,0.312453896,669234580,2.71,0.813817891,77.68705087,11.62625745,11.2630513,3.677077116,2001,209104951.6,27116531770,16737556846,13754900885
35,中国天楹,4.82,0.207900208,95.98386726,98.51069778,1.17343047,-2.950985144,1.83781731,14.55510635,环保行业,0.01819215,2523777297,0.44,4.411596726,61.02436348,7.6199149,4.1076145,23.63746194,6624,45912935.99,1116645023,12164606572,11825124712
36,华联控股,4.08,1.240694789,14.06412255,13.89441397,1.13486727,1.421706226,2.62009658,3.03723176,房地产开发,0.020021148,1483934025,0.56,22.44315575,29.04750873,-15.03672746,3.5951341,49.06968177,5095,29710062.69,169313505.6,6054450822,6037075028
37,深南电A,7.57,2.159244265,-29.92533185,-28.48913916,3.20273476,-1.581569301,6.24881358,22.32862305,电力行业,-0.051675335,602762596,-2.16,-30.49643778,44.30331444,19.7932791,2.363605,-14.20327522,-3662,-31147959.3,111067616.6,4562912852,2565436331
38,*ST大通,3.43,0,-11.01988181,-2.84498143,0.75548678,0.006863663,0.86246811,-21.10401255,文化传媒,0.254088629,522777419,5.76,7.050539801,14.45220472,139.6835194,4.5401192,10.45194545,1012,132831797.5,1698912190,1793126547,859549102.6
39,中集集团,7.11,-0.280504909,22.91558408,11.90994976,0.81899391,-0.135441353,0.28908569,4.19940182,通用设备,0.02970355,5392520385,0.31,1.791458409,57.20989804,-90.61244703,8.6813832,13.68230291,5984,160177000,26649907000,38340819937,16363004780
40,东旭蓝天,4.22,1.442307692,-26.65489311,-20.28816304,0.55614508,-1.047405621,2.13360348,7.24084978,电力行业,0.010909649,1486873870,0.14,2.756330831,55.21426763,128.1368616,7.5879482,17.70100282,9670,16221272.4,583622511.8,6274607731,4474637627
42,中洲控股,8.43,1.444043321,53.77072063,70.35295041,0.73107137,-1.789871452,0.66613267,2.14483706,房地产开发,0.09159086,664831139,0.78,1.450105678,77.98830863,67.63066646,11.531022,32.21685998,2301,60892455.65,2490227318,5604526502,5597265111
45,深纺织A,10.14,1.298701299,74.66170112,70.0612303,1.79427068,1.855739378,1.80421367,9.1971934,光学光电子,0.02587966,506521849,0.46,2.567508693,27.39519747,-25.62803401,5.6513212,11.41044655,9795,13108613.21,679306013.1,5136131549,4634201549
46,*ST泛海,1.01,3.06122449,-0.43565027,-0.45491709,-0.80007938,0.176371598,0.41988923,10.69807622,多元金融,-0.251684069,5196200656,-21.94,-442.7491575,101.2475787,-63.96842461,-1.2623747,52.08404813,-100,-1307800924,1712167214,5248162663,5245901071
48,京基智农,20.22,0.14858841,4.95635822,13.68549295,2.75281653,-0.002194664,0.86731666,30.0128552,房地产开发,2.331183327,523239250,37.73,18.3442367,71.55529946,960.380269,6.3452044,47.82008366,217,1219766615,6663134946,10579897635,10579897635
49,德赛电池,36.39,2.04711161,13.86943835,12.57743524,2.6185911,1.593254752,0.51547906,7.5260331,电池,0.245682806,299386862,1.78,1.559949678,62.28027016,-52.31358955,13.896786,8.678917644,3703,73554204.39,4288354313,10894687908,10890862555
50,深天马A,9.14,0.43956044,-35.72356197,199.6407721,0.76474272,4.782866455,0.73699204,5.46561204,光学光电子,-0.269461136,2457747661,-2.23,-8.587316608,63.17653665,-937.4953858,11.951732,5.94894653,-848,-662267476.3,7708229972,22463813622,21714758659
55,方大集团,5,0.806451613,17.32815679,18.97747849,0.9310047,0.580476926,1.33883657,14.05298475,装修装饰,0.065950021,1073874227,1.22,8.951272039,53.27146792,61.35546277,5.3705422,24.00359244,1895,70822028.03,815219822.9,5369371135,3379380895
56,皇庭国际,4.1,1.485148515,-4.08259354,-4.03056285,2.48327735,0.799492663,7.3159372,13.73797339,房地产服务,-0.084149387,1210088720,-4.97,-52.34639958,80.38487856,13.34941438,1.6510439,57.73934974,-1218,-101828223.5,195608889.5,4961363752,3703882092
58,深赛格,6.39,0.62992126,525.7799932,498.6822828,4.00825172,-6.130913037,4.36639287,29.69393294,商业百货,0.026726247,1231200672,1.69,9.624386807,52.84056133,-2.411385425,1.5942113,24.05228864,5977,32905373.52,445269320.9,7867372294,6292129348
59,华锦股份,6.85,-1.154401154,-43.28507905,20.71988644,0.78608259,1.859823923,0.22663663,38.40177546,石油行业,-0.311250066,1599442537,-3.51,-5.038598355,50.59507058,-275.2501102,8.7140971,11.45070737,-550,-497826594.5,9974560712,10956181378,10956181378
60,中金岭南,5.04,-0.787401575,15.69938634,15.53855135,1.30833592,4.58650209,0.32761742,19.36016287,有色金属,0.085650468,3737543730,2.16,2.235581294,54.86030677,-3.734717983,3.8522217,4.486424805,1471,320122368,16791463190,18837220399,18835802899
61,农产品,6.69,2.293577982,52.36741424,56.85995361,1.94747989,-1.182770722,2.44068018,18.12674283,贸易行业,0.051352015,1696964131,1.51,8.758930801,64.08456699,24.46464327,3.4352088,25.90179931,3257,87142527.36,1240256324,11352690036,11352506898
62,深圳华强,11.98,-0.415627598,14.60333716,13.15614081,1.76434263,1.712027492,0.57141789,4.12998258,电子元件,0.119805103,1045909322,1.77,3.953262386,48.70314594,-42.96245871,6.4900644,11.57329246,2500,125305274.2,3854160484,12529993678,12513679350
63,中兴通讯,31.68,-1.369863014,17.65259639,18.58240422,2.45480947,0.913690384,1.20926875,17.22693683,通信设备,0.557484867,4739624618,4.41,8.968876174,66.34473954,19.20051754,12.5690391,44.49471744,1421,2642269000,29142882000,1.50151E+11,1.26194E+11
65,北方国际,17.7,-3.436988543,24.45528527,27.87864641,2.2951669,12.28952821,1.12417755,7.63772485,工程建设,0.193593444,1001751983,2.48,4.691323445,62.08397031,84.87114105,7.7118575,12.84774229,2286,193932616.9,4792486384,17731010099,16024312627
66,中国长城,11.2,-0.355871886,-531.0140405,300.3715165,2.70168182,1.950171678,2.69684545,30.4245539,计算机设备,-0.094620118,3225799087,-2.26,-13.55667561,55.15052914,-161.0841091,4.1455659,21.13987544,-2959,-305225491,2198572939,36128949774,35244084691
68,华控赛格,3.13,1.294498382,-13.41663801,-14.47635707,168.8863065,0.046698907,3.2904969,38.39444552,环保行业,-0.026741184,1006671464,-83.82,-25.02868044,90.19363599,-176.7270939,0.0185332,9.331274075,-2926,-26919587.25,105671217.9,3150881682,3150881682
69,华侨城A,4.98,0.201207243,-3.58780632,-3.74538431,0.62315761,-0.000429988,0.53594617,14.45506621,房地产开发,-0.036902635,8201793915,-0.44,-1.360441339,74.50600278,-271.6755156,7.9915577,20.15088302,-3374,-302667804.6,6916525641,40844933697,35140815198
70,特发信息,6.81,-1.161103048,-1379.2427,433.3455705,3.35596184,531.1292224,1.31682099,27.82396276,通信设备,-0.012264782,844597019,-0.58,0.228930038,71.06608991,-246.2242698,2.0292245,12.35757085,-13881,-10358798.11,972291828.1,5751705699,5671578327
78,海王生物,3.36,0.298507463,-9.02818184,-8.9965224,1.94346061,-8.42E-05,0.23950613,-75.29928774,医药商业,0.027093866,2750833257,1.26,1.107171438,83.21168453,5.079420299,1.7288748,10.68934303,3100,74530706.41,9957850384,9242799744,8801771479
88,盐田港,5.45,-0.547445255,25.93425858,27.24048854,1.27816739,-11.39347903,15.32465247,22.50019033,航运港口,0.047242193,2249161747,1.11,60.7480994,33.32709588,27.11377477,4.2639173,36.14865316,2884,106255332.4,192845085.8,12257931521,12257788328
89,深圳机场,7.25,-0.137741047,-15.62128442,-13.01156944,1.40594557,0.003977389,5.07408692,59.58700966,航空机场,-0.052603223,2050769509,-1.01,-11.54982013,57.35505647,63.89355429,5.1566719,0.900611081,-3446,-107877085.3,906750286.9,14868078940,14867882422
90,天健集团,5.43,-0.366972477,8.07427955,5.20360519,0.93890122,9.472903685,0.3927749,5.12676365,工程建设,0.115215849,1868545434,1.97,6.531062834,79.38955836,-76.3036315,5.783356,18.93242358,1178,215286049.4,3228740728,10146201707,10144901004
96,广聚能源,8.31,-0.120192308,78.62131998,79.56821957,1.6952042,-2.389570632,1.92569016,103.3258479,石油行业,0.019022657,528000000,0.39,2.066594088,6.747469547,7.08050455,4.9020643,7.709631241,10921,10043963.09,514445369.9,4387680000,4245146880
99,中信海直,8.2,1.10974106,33.16839267,32.75142522,1.2752524,-1.656810922,3.45324974,10.07467612,航空机场,0.088497988,775770137,1.39,16.14468289,19.75112667,-3.434396583,6.4300996,15.21194825,2316,68654095.99,404919016.5,6361315123,5823764115
100,TCL科技,3.65,0.550964187,-41.78947072,262.2987414,1.3801739,2.015331959,0.41416014,3.59662299,光学光电子,-0.029234613,18779080767,-1.09,0.282321775,63.63719922,-140.5904405,2.6445943,10.35810643,-3121,-548999154,39465731391,68543644800,54811457616
150,*ST宜康,0.51,0,-1.03989881,-1.02072755,-0.5217534,-0.0499242,0.47927938,3.05272585,医疗服务,-0.0889086,877697557,-9.53,-35.84370113,120.8229763,9.387778744,-0.9774733,18.50546415,-143,-78034861.33,208337905.4,447625754.1,411055023.4
151,中成股份,13.21,-1.564828614,-9.91350033,-10.75021631,6.64618257,-5.93E-05,0.92803824,126.8398519,贸易行业,-0.099532988,337370728,-4.89,-2.914293823,74.85445573,-2480.695116,1.9876072,5.337085748,-3318,-33579516.53,1180654179,4456667317,3521045804
153,丰原药业,9.55,0.104821803,19.42744619,20.538317,1.77901583,0.783700212,0.75126462,7.34627814,化学制药,0.138581371,332111230,2.63,3.784290406,58.96460447,23.74073736,5.3681366,28.16939677,1723,46024429.74,1206114496,3171662247,2979382547
155,川能动力,14.82,0.816326531,28.90895768,30.81691746,3.87510114,0.176288947,5.61472561,8.87690697,电力行业,0.187215719,1475926818,5.02,51.75862194,53.64342428,20.41413335,3.8244163,69.05937227,1979,276316699.9,930123619.1,21873235443,19220521792
156,华数传媒,10.62,7.272727273,24.7485857,24.82744064,1.339092,-2.099912447,2.06255432,9.88741057,文化传媒,0.083326811,1852932442,1.06,7.295847723,44.26336115,1.662832425,7.9307471,29.02271416,3186,154398951.1,2128082897,19678142534,16620885279
157,中联重科,6.51,-0.306278714,25.56571569,24.49808064,1.03482062,-0.47133481,1.34364694,26.64022608,工程机械,0.093347013,8677992236,1.48,8.237006712,55.91360977,-10.62501061,6.2909454,26.39376585,1743,810064655.8,10425507345,56493729456,46017412659
158,常山北明,6.88,-1.573676681,-54.16974397,-52.93543983,1.87401822,-0.029146178,1.22106266,-24426.66115,综合行业,-0.051136917,1598616721,-1.38,-7.436970812,62.25669582,5.474229455,3.6712557,12.31926246,-3364,-81748331.21,1295702855,10998483040,10878834220
159,国际实业,7.26,-1.62601626,12.39060471,11.71482814,1.3810294,0.011339035,1.00475636,-8.96198405,石油行业,0.009968179,480685993,0.19,0.469010286,21.69068377,-77.22483591,5.2569482,2.205234135,18208,4791564.24,2124044897,3489780309,3489780309
166,申万宏源,4.79,0.630252101,32.16394475,43.00409305,1.23033225,-1.02785289,5.56714366,2.06200949,证券,0.080311297,25039944560,2.09,38.15727524,81.14750244,87.76814149,3.8932573,0,1491,2010990436,5765114214,1.19941E+11,1.07945E+11
301,东方盛虹,12.4,-0.161030596,141.1723112,149.5524104,2.30776263,-6.381531598,1.03009911,25.34269842,化纤行业,0.108485131,6611212402,1.99,2.418174364,79.2096068,4.752499492,5.3731696,14.31724932,2858,717218243.8,29534484782,81979033785,68196047202
333,美的集团,55.45,0.090252708,12.80032968,13.17451753,2.55561025,3.7371065,1.10798654,10.83006114,家电行业,1.14528596,7021698756,5.46,8.461962125,63.39845046,12.03590174,21.6973617,24.04091577,1210,8041853000,96636184000,3.89353E+11,3.81502E+11
338,潍柴动力,12.54,-1.25984252,19.34042476,22.31003702,1.4479233,-0.378000347,0.5966668,272.2654727,汽车零部件,0.212676239,8726556821,2.5,4.202090365,65.20821735,68.29349637,8.6606797,18.70048157,1474,1855931280,53434143417,1.09431E+11,63306059931
400,许继电气,24.18,0.041373604,30.17496887,32.11380859,2.3818389,6.555767631,1.55175721,12.09396297,电网设备,0.148174786,1008327309,1.47,5.46139531,41.17682916,48.47844201,10.1518201,13.20906594,4080,149408683,3263671574,24381354332,24379964731
401,冀东水泥,8.7,-3.440621532,28.95738481,17.03369283,0.7808707,-1.082649213,0.66532292,8.3072213,水泥建材,-0.298026387,2658214254,-2.64,-17.16137856,49.62525209,-239.7649767,11.1414091,5.029626266,-730,-792217988.9,5184292327,23126464010,13461504815
402,金融街,4.99,0.200803213,-49.84373747,17.62224821,0.39543506,2.318167832,0.80010099,1.50752195,房地产开发,-0.070638768,2988929907,-0.56,-8.216984296,73.05165089,-122.5943641,12.6190126,18.14787598,-1766,-211134327.4,2835207888,14914760236,14909266890
403,派林生物,21.15,-0.517403575,28.80703004,26.39169104,2.23568581,0.427350433,7.1551497,28.03349347,生物制品,0.076948952,732642692,0.82,21.55112335,12.62644338,-46.61577976,9.4601844,48.41018086,6871,56376087.53,260860262.4,15495392936,13528377582
404,长虹华意,6.43,-1.380368098,15.27418863,17.03230656,1.22107821,0.325700839,0.32900035,5.42355183,家电行业,0.090444014,695995979,1.73,2.137878124,62.48794176,92.47398449,5.2658379,8.866968084,1777,62948669.75,4237222936,4475254145,4468950771
407,胜利股份,3.83,1.591511936,23.47640032,22.2173657,1.22462842,0.25636225,0.70774363,12.39799828,燃气,0.025811071,880084656,0.83,2.874013566,55.45430736,-26.3722811,3.1274793,13.32817216,3710,22715927.41,1251644917,3370724232,3354189188
408,藏格矿业,23.14,0,6.34786333,6.46721306,3.16399559,0.018071057,4.41585817,7.65068751,化肥行业,0.582496122,1580435073,7.31,67.0185273,16.12172414,13.05703546,6.3595637,69.07345582,993,920597301.9,1373645974,36571267589,36571267589
409,云鼎科技,8.35,0,120.6947821,221.0463911,3.92901539,2.074722577,4.6196217,227.3978894,互联网服务,0.035328082,664210505,1.68,13.65717573,31.29802449,801.1846116,2.1252144,36.94391522,5909,23465283.19,255163998.2,5546157717,3535197908
410,*ST沈机,6.89,2.074074074,-506.0082585,552.3417168,14.56591975,108.9700733,8.97461487,-60.82732671,通用设备,-0.016811867,2064746603,0,-9.263677187,73.87838476,-281.1882719,0.473022,8.312550705,-10246,-34712246.08,377565932.5,14226104095,11581510854
411,英特集团,13.17,-1.495886313,28.57032739,31.36571166,1.83856001,0.978875376,0.21205212,16.82917569,医药商业,0.13515239,505445173,2.58,1.437404541,72.42930988,43.67232566,7.1632146,6.340450048,2436,68312123.23,7901790698,6656712928,3961940438
413,东旭光电,1.77,0,-7.38091474,-6.05767336,0.44472496,-0.269351345,1.74347497,46.32381814,光学光电子,-0.039986218,5632749948,-1,-20.39509401,60.1951038,56.71078619,3.979988,7.376000779,-1107,-225232367.1,1141123417,9969967408,8901846918
415,渤海租赁,2.33,0.865800866,-14.36670517,-7.25393133,0.52555694,0.134524669,0.452561,0.66480805,多元金融,0.039726114,6184521282,0.89,5.732214623,83.27529548,133.2997652,4.4333921,50.24029965,1466,245687000,6509997000,14409934587,12565082185
416,*ST民控,2.38,1.276595745,-51.48935369,-44.29856954,1.48197342,0.013492765,59.12361776,-592.1590058,多元金融,-0.001216379,531871494,-0.08,-45.63186234,2.629792513,86.05001335,1.6059667,0,-48916,-646957.32,4488995.37,1265854156,1265305813
417,合肥百货,5.07,1.603206413,22.80979494,23.59103023,0.91298084,-4.110693682,0.62116356,5.73947151,商业百货,0.123868316,779884200,2.22,6.350496965,59.51873159,6.31782162,5.5532381,28.50744305,1023,96602942.66,1968705804,3954012894,3949669177
419,通程控股,5.64,1.621621622,24.20322412,21.03459249,0.96288402,5.449822789,1.4376015,180.0001039,商业百货,0.055360471,543582655,0.95,7.447784682,34.5633817,-38.80346923,5.8574033,26.27971989,2547,30092991.97,533228812.2,3065806174,3064211126
420,吉林化纤,3.9,0.515463918,-315.7381301,-104.8637261,2.20824247,-25.87348537,2.76026822,26.30586361,化纤行业,0.004911888,2458868343,0.28,1.629435733,59.73392863,124.6491272,1.7661104,13.07301354,19850,12077686.08,741218928.6,9589586538,9586036758
421,南京公用,5.12,1.789264414,41.44607302,48.91310911,1.03268027,-1.305102955,0.41923279,1.84267078,燃气,-0.003760962,578261934,-0.08,-0.147535083,74.65270312,83.37297148,4.9579721,10.50855686,-34034,-2174821.01,1366402000,2960701102,2931952302
422,湖北宜化,13.04,-4.398826979,6.70513796,5.40947087,2.38439249,0.182273974,0.5881657,3.14943441,化学原料,0.245136412,897866712,4.33,5.903363938,64.72573077,-65.51969077,5.4688983,12.87754515,1330,220099824.3,4718236820,11708181924,11707536171
423,东阿阿胶,49.4,-4.077669903,36.07254963,41.42146405,3.05965463,0.391153917,7.65533074,13.59840081,中药,0.352183318,654021537,2.21,21.56184113,18.46579581,100.8581471,16.1456131,70.78260606,3507,230335474.7,1069042839,32308663928,32308663928
425,徐工机械,6.4,2.893890675,20.10552814,17.55787292,1.40195656,-0.697825375,0.82904183,58.7320513,工程机械,0.128920884,11816166093,2.84,6.521691433,68.3892348,-26.37691398,4.5650487,22.62852661,1241,1523350581,23892908942,75623462995,30954871949
426,兴业矿业,8.07,-1.944106926,116.5793621,85.25647577,2.66209602,-4.792154294,7.3096586,20.40630128,有色金属,0.007615001,1837192219,0.25,3.048409666,41.23508376,-76.95729434,3.0314459,37.59641431,26494,13990219.8,458991935,14826141207,11903590893
428,华天酒店,4.42,1.376146789,-14.01650216,-14.49508302,2.55433175,-0.012657004,8.99270422,143.1507846,旅游酒店,-0.043024144,1018926000,-2.46,-44.87348619,74.01167896,-31.92511644,1.7303939,15.04863317,-2568,-43838419.23,133042474.1,4503652920,4503451810
429,粤高速A,8.27,0.853658537,13.76061911,13.53956567,1.82401449,-0.648284329,4.06169905,5.83861168,铁路公路,0.196024102,2090806126,4.42,48.61870343,44.33504259,-4.766925905,4.5339552,68.45598083,1055,409848394.3,1154573212,17290966662,10778489943
430,张家界,7.41,1.091405184,-13.15324217,-11.53526102,2.78088822,0.120769268,16.0779575,134.7711749,旅游酒店,-0.074225335,404817686,-2.75,-46.91479394,62.02507661,51.56405334,2.6646163,-2.373614213,-2496,-30047728.28,64047448.06,2999699053,2458184508
488,晨鸣纸业,5.04,-0.591715976,-75.07536133,79.33800572,0.84243514,0.540371266,0.50658623,3.62403506,造纸印刷,-0.092427448,2979742200,-1.66,-4.349707684,71.39811566,-341.7619546,5.9826564,10.51618447,-1363,-275409967.4,6155915692,15017900688,8485151709
498,山东路桥,7.64,-1.03626943,4.75922771,4.7615436,0.91807193,0.257231416,0.18333892,-23.42147019,工程建设,0.151725447,1560987803,1.54,2.948215442,78.02572134,0.517260975,8.3217881,10.44622186,1259,236841572.7,10555486845,11925946815,11138303055
501,武商集团,11.3,0.266193434,33.32641525,28.51813891,0.79312922,-0.985484405,1.33315598,5.73887594,商业百货,0.17147133,768992731,1.21,6.418213627,65.48125563,-25.00379164,14.2473632,46.13945184,1648,131860206.6,2054468958,8689617860,8679226505
503,国新健康,12.21,0.659521847,-140.2470823,-131.0178265,16.56636178,-5.273055436,33.65003922,-77.98632412,软件开发,-0.04839417,906413204,-6.36,-78.6619514,37.03225053,11.2472624,0.7370357,-3.239951543,-6308,-43865115.01,55766199.77,11067305221,10974102970
504,南华生物,11.06,1.374885426,-232.3559525,-271.4508167,292.1543905,-5.543304063,20.23891661,21.16938495,医疗服务,-0.006342139,311573901,-15.46,1.260430328,85.51259368,-1335.767723,0.0378567,68.70689096,-43597,-1976045.11,34739572.68,3446007345,3436045603
505,京粮控股,7.71,0.12987013,39.5584852,39.63468779,1.80875521,-1.523081388,0.4298032,-12.90067878,农牧饲渔,0.051262215,726950251,1.21,1.407866535,42.94902839,0.736373244,4.2626,3.155907863,3760,37265080.42,3206922215,5604786435,4786486456
506,中润资源,4.38,0.689655172,-82.67458865,16.0835683,6.72625975,-0.125463518,14.28678443,-47.51036445,贵金属,-0.040793655,929017761,-6.08,-61.64232082,62.89667177,-114.3380754,0.6511791,-11.60613935,-2684,-37898030.05,70876731.03,4069097793,4067578809
507,珠海港,5.87,0,17.45791979,17.61101706,1.07502577,-0.631706134,1.04348813,4.13540894,航运港口,0.066229089,919734895,0.94,8.981449107,55.52399445,4.617247178,5.4603342,25.88096428,2216,60913203.89,1259081438,5398843834,5296722610
509,华塑控股,3.46,-1.983002833,-434.3258301,-1343.395811,28.2563295,-13.22572813,5.14149101,-85.04015721,光学光电子,-0.003718536,1073128052,-2.98,-2.924568279,66.49860453,-322.3643842,0.1224504,7.010932501,-23262,-3990464.85,134787863.5,3713023060,3712959936
